requestNumber,added_lines,removed_lines,loops_add,loops_remove,conditions_add,conditions_remove,processTime,success
10000,20,8,2,1,1,0,95890.3392,True
50000,20,8,2,1,1,0,61750.52408,False
1000,20,8,2,1,1,0,23586.76,True
27500,20,8,2,1,1,0,77419.17490909091,False
20000,20,8,2,1,1,0,89582.01245,False
17500,20,8,2,1,1,0,90062.99182857142,False
15000,20,8,2,1,1,0,103752.47313333333,True
16000,8,1,0,0,0,0,101768.652125,True
800,110,33,1,1,1,1,1599323.25125,True
1000,25,21,3,2,1,1,1296589.054,True
550,25,21,2,1,1,1,264119.95454545453,False
500,33,29,4,4,2,2,9298.464,True
1000,33,29,4,4,2,2,15647.599,True
1500,33,29,3,3,2,2,30669.373333333333,True
500,21,10,5,2,3,1,7804.568,True
1000,21,10,5,2,3,1,14139.107,True
5000,21,10,5,2,3,1,68346.518,True
3500,21,10,5,2,3,1,7529.651714285715,False
5000,21,10,5,2,3,1,132637.336,True
5000,21,10,5,2,3,1,2079143.4618,True
10000,21,10,5,2,3,1,107533.8959,True
10000,21,10,5,2,3,1,992566.4981,True
10000,12,13,0,0,1,1,688251.1258,True
10000,12,13,0,0,1,1,974557.2102,True
10000,6,22,2,5,1,3,744102.3829,True
10000,6,22,2,5,1,3,733363.4826,True
25000,6,22,2,5,1,3,487525.00316,False
15000,6,22,2,5,1,3,1214789.9547333333,True
5000,3,9,1,2,0,1,46330.4144,True
10000,3,9,1,2,0,1,72410.3319,True
1000,3,9,1,2,0,1,11372.99,True
10000,3,9,1,2,0,1,1054804.7279,True
20000,3,9,1,2,0,1,59231.04926231558,False
25000,3,9,1,2,0,1,52123.6782,False